#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 01 01 00 00   5  2.2  3.4 99.00 99.00 99.00 999 1017.4  25.2  28.4 999.0 99.0 99.00
2024 01 01 00 06   3  2.0  3.2 99.00 99.00 99.00 999 9999.0  25.1  28.4 999.0 99.0 99.00
2024 01 01 00 12   5  1.6  2.3 99.00 99.00 99.00 999 9999.0  25.0  28.4 999.0 99.0 99.00
2024 01 01 00 18   4  1.8  2.3 99.00 99.00 99.00 999 9999.0  24.9  28.4 999.0 99.0 99.00
2024 01 01 00 24  11  2.2  2.8 99.00 99.00 99.00 999 1017.6 999.0  28.4 999.0 99.0 99.00
2024 01 01 00 30   3  1.8  2.6 99.00 99.00 99.00 999 1017.6 999.0  28.4 999.0 99.0 99.00
2024 01 01 00 36  11  1.4  2.4 99.00 99.00 99.00 999 1017.7  25.1 999.0 999.0 99.0 99.00
2024 01 01 00 42   7  1.8  2.2 99.00 99.00 99.00 999 1017.7  25.2 999.0 999.0 99.0 99.00
2024 01 01 00 48   5  1.6  2.3 99.00 99.00 99.00 999 1017.8  24.9 999.0 999.0 99.0 99.00
2024 01 01 00 54   6  1.5  2.4 99.00 99.00 99.00 999 1017.7  24.7  28.3 999.0 99.0 99.00
2024 01 01 01 00 357  1.4  1.8 99.00 99.00 99.00 999 1017.7  24.7  28.3 999.0 99.0 99.00
2024 01 01 01 06   3  1.5  1.9 99.00 99.00 99.00 999 1017.7  24.6  28.3 999.0 99.0 99.00
2024 01 01 01 12  12  1.2  1.7 99.00 99.00 99.00 999 1017.7  24.5  28.3 999.0 99.0 99.00
2024 01 01 01 18   1  0.8  1.3 99.00 99.00 99.00 999 1017.7  24.4  28.3 999.0 99.0 99.00
2024 01 01 01 24  17  1.0  1.6 99.00 99.00 99.00 999 1017.7  24.3  28.3 999.0 99.0 99.00
2024 01 01 01 30   9  1.2  2.0 99.00 99.00 99.00 999 1017.8  24.2  28.3 999.0 99.0 99.00
2024 01 01 01 36   8  1.4  2.2 99.00 99.00 99.00 999 1017.8  24.3  28.3 999.0 99.0 99.00
2024 01 01 01 42   5  1.8  2.4 99.00 99.00 99.00 999 1017.8  24.2  28.3 999.0 99.0 99.00
2024 01 01 01 48  12  1.8  2.8 99.00 99.00 99.00 999 1017.8  24.1  28.3 999.0 99.0 99.00
2024 01 01 01 54  13  1.8  3.3 99.00 99.00 99.00 999 1017.8  23.9  28.3 999.0 99.0 99.00
2024 01 01 02 00 360  2.5  3.3 99.00 99.00 99.00 999 1017.8  23.9  28.3 999.0 99.0 99.00
2024 01 01 02 06 359  2.6  3.7 99.00 99.00 99.00 999 1017.9  24.0  28.3 999.0 99.0 99.00
2024 01 01 02 12   4  2.7  3.9 99.00 99.00 99.00 999 1017.9  23.9  28.3 999.0 99.0 99.00
2024 01 01 02 18   1  2.6  3.8 99.00 99.00 99.00 999 1017.9  23.8  28.3 999.0 99.0 99.00
2024 01 01 02 24   4  2.3  3.9 99.00 99.00 99.00 999 1017.9 999.0  28.2 999.0 99.0 99.00
2024 01 01 02 30 360  2.7  3.5 99.00 99.00 99.00 999 1017.9 999.0  28.2 999.0 99.0 99.00
2024 01 01 02 36   9  1.9  3.0 99.00 99.00 99.00 999 1017.8  23.3  28.2 999.0 99.0 99.00
2024 01 01 02 42   4  1.8  2.5 99.00 99.00 99.00 999 1017.8  23.4  28.2 999.0 99.0 99.00
2024 01 01 02 48   2  1.7  2.3 99.00 99.00 99.00 999 1017.7  23.3  28.2 999.0 99.0 99.00
2024 01 01 02 54  18  1.5  2.4 99.00 99.00 99.00 999 1017.7  23.2  28.2 999.0 99.0 99.00
2024 01 01 03 00  42  0.8  2.0 99.00 99.00 99.00 999 1017.7  23.2  28.2 999.0 99.0 99.00
2024 01 01 03 06  13  1.7  2.4 99.00 99.00 99.00 999 1017.6  23.2  28.2 999.0 99.0 99.00
2024 01 01 03 12  18  1.7  2.6 99.00 99.00 99.00 999 1017.6  23.1  28.2 999.0 99.0 99.00
2024 01 01 03 18  24  1.2  2.5 99.00 99.00 99.00 999 1017.6  22.9  28.2 999.0 99.0 99.00
2024 01 01 03 24 360  1.9  2.7 99.00 99.00 99.00 999 1017.5  23.1  28.2 999.0 99.0 99.00
2024 01 01 03 30   3  2.7  3.3 99.00 99.00 99.00 999 1017.5  23.2  28.2 999.0 99.0 99.00
2024 01 01 03 36 360  2.7  3.8 99.00 99.00 99.00 999 1017.5  23.3  28.2 999.0 99.0 99.00
2024 01 01 03 42   2  2.6  3.6 99.00 99.00 99.00 999 1017.5  23.1  28.1 999.0 99.0 99.00
2024 01 01 03 48   8  2.5  3.6 99.00 99.00 99.00 999 1017.4  23.1  28.1 999.0 99.0 99.00
2024 01 01 03 54   3  2.9  3.8 99.00 99.00 99.00 999 1017.3  23.1  28.1 999.0 99.0 99.00
2024 01 01 04 00   3  2.7  3.6 99.00 99.00 99.00 999 1017.3  23.2  28.1 999.0 99.0 99.00
2024 01 01 04 06   6  2.4  3.5 99.00 99.00 99.00 999 1017.3  23.2  28.1 999.0 99.0 99.00
2024 01 01 04 12   3  2.7  3.5 99.00 99.00 99.00 999 1017.3  23.1  28.1 999.0 99.0 99.00
2024 01 01 04 18   5  2.4  3.5 99.00 99.00 99.00 999 1017.3  23.0  28.1 999.0 99.0 99.00
2024 01 01 04 24   1  2.7  3.6 99.00 99.00 99.00 999 1017.3  23.1  28.1 999.0 99.0 99.00
2024 01 01 04 30   6  2.7  3.6 99.00 99.00 99.00 999 1017.3  22.9  28.1 999.0 99.0 99.00
2024 01 01 04 36 360  2.6  3.5 99.00 99.00 99.00 999 1017.3  23.1  28.1 999.0 99.0 99.00
2024 01 01 04 42   4  2.3  3.8 99.00 99.00 99.00 999 1017.3  23.1  28.1 999.0 99.0 99.00
2024 01 01 04 48   4  2.5  3.3 99.00 99.00 99.00 999 1017.3  23.0  28.0 999.0 99.0 99.00
2024 01 01 04 54   5  2.9  3.8 99.00 99.00 99.00 999 1017.3  23.0  28.0 999.0 99.0 99.00
2024 01 01 05 00   2  3.5  4.3 99.00 99.00 99.00 999 1017.3  23.1  28.0 999.0 99.0 99.00
2024 01 01 05 06   5  2.8  3.8 99.00 99.00 99.00 999 1017.2  23.0  28.0 999.0 99.0 99.00
2024 01 01 05 12   2  2.9  3.7 99.00 99.00 99.00 999 1017.2  22.9  28.0 999.0 99.0 99.00
2024 01 01 05 18   2  2.9  3.8 99.00 99.00 99.00 999 1017.1  22.8  28.0 999.0 99.0 99.00
2024 01 01 05 24   5  3.0  4.0 99.00 99.00 99.00 999 1017.1  22.7  28.0 999.0 99.0 99.00
2024 01 01 05 30   3  3.0  3.9 99.00 99.00 99.00 999 1017.0  22.9  28.0 999.0 99.0 99.00
2024 01 01 05 36   4  2.4  3.7 99.00 99.00 99.00 999 1016.9  22.9  28.0 999.0 99.0 99.00
2024 01 01 05 42   2  2.7  3.4 99.00 99.00 99.00 999 1016.9  22.9  27.9 999.0 99.0 99.00
2024 01 01 05 48   4  2.7  3.9 99.00 99.00 99.00 999 1016.8  22.8  27.9 999.0 99.0 99.00
2024 01 01 05 54  11  2.7  3.7 99.00 99.00 99.00 999 1016.8  22.8  27.9 999.0 99.0 99.00
2024 01 01 06 00   7  2.2  3.2 99.00 99.00 99.00 999 1016.7  22.9  27.9 999.0 99.0 99.00
2024 01 01 06 06   4  2.7  3.4 99.00 99.00 99.00 999 1016.6  22.8  27.9 999.0 99.0 99.00
2024 01 01 06 12  10  2.6  3.6 99.00 99.00 99.00 999 1016.6  22.6  27.9 999.0 99.0 99.00
2024 01 01 06 18   6  2.5  3.3 99.00 99.00 99.00 999 1016.5  22.5  27.9 999.0 99.0 99.00
2024 01 01 06 24   9  2.2  3.5 99.00 99.00 99.00 999 1016.5  22.4  27.9 999.0 99.0 99.00
2024 01 01 06 30   6  2.5  3.3 99.00 99.00 99.00 999 1016.4  22.4  27.8 999.0 99.0 99.00
